input_text,target_text
"context: ""चर्च और राज्य के पृथक्करण"" की आधुनिक अवधारणा के आलोचकों का तर्क है कि यह संविधान के पाठ में किसी भी चीज़ के लिए अनियंत्रित है और वाक्यांश की अवधारणा के विपरीत है क्योंकि संस्थापक पिता इसे समझते थे।फिलिप हैमबर्गर, कोलंबिया लॉ स्कूल के प्रोफेसर और अवधारणा की आधुनिक समझ के प्रमुख आलोचक, यह कहते हैं कि आधुनिक अवधारणा, जो संवैधानिक स्थापना खंड न्यायशास्त्र से भटकती है, अमेरिकी विरोधी कैथोलिकवाद और नैटिविज्म में निहित है।संशोधन) से प्रेरित थे और कैथोलिक विरोधीवाद को लागू करने का इरादा किया गया था।",question: फिलिप हैमबर्गर किस स्कूल से जुड़ा है? answer: कोलंबिया लॉ स्कूल
"context: 2000 [अद्यतन] के रूप में, बच्चों और किशोरों (0-19 वर्ष) की उम्र 15.1% आबादी है, जबकि वयस्क (20-64 वर्ष) 65% और वरिष्ठ (64 वर्ष से अधिक उम्र) 19.9% ​​बनाते हैं।",question: 20-64 के बीच कितनी प्रतिशत आबादी है? answer: 65%
"context: इस अवधि के अन्य उल्लेखनीय नए टीकों में खसरा (1962, बच्चों के मेडिकल सेंटर बोस्टन के जॉन फ्रैंकलिन एंडर्स, बाद में मौरिस हिलमैन द्वारा मर्के में मौरिस हिलमैन द्वारा परिष्कृत), रूबेला (1969, हिलमैन, मर्क्क) और मेम्प्स (1967, हिलमैन, मर्क) में शामिल हैं।टीकाकरण।अमेरिका में लाइसेंस प्राप्त खसरे के पहले 20 वर्षों में टीकाकरण ने बीमारी के अनुमानित 52 मिलियन मामलों, मानसिक मंदता के 17,400 मामलों और 5,200 मौतों को रोका।",question: खसरा टीकाकरण ने बीमारी के कितने अनुमानित मामलों को रोकने में मदद की? answer: 52 मिलियन
"context: तुर्की: 3 अप्रैल को आयोजित इस्तांबुल में मशाल रिले लेग, सुल्तानहमेट स्क्वायर पर शुरू हुआ और टकसिम स्क्वायर में समाप्त हुआ।तुर्की में रहने वाले उइगर ने शिनजियांग में रहने वाले अपने हमवतन के चीनी उपचार में विरोध किया।रिले को बाधित करने की कोशिश करने वाले कई प्रदर्शनकारियों को तुरंत पुलिस ने गिरफ्तार कर लिया।",question: तुर्की में लोगों ने चीन में रहने वाले लोगों के लिए क्या विरोध किया? answer: उइघर्स
"context: ये क्षेत्र, क्वार्टर्स सेंसिबल्स (""संवेदनशील क्वार्टर""), उत्तरी और पूर्वी पेरिस में हैं, अर्थात् इसके गाउट डी'ओर और बेलेविले पड़ोस के आसपास।शहर के उत्तर में वे मुख्य रूप से सीन-सेंट-डेनिस विभाग में समूहीकृत हैं, और वैल-डी'ओइस विभाग में पूर्व में कुछ चरम पर हैं।अन्य कठिन क्षेत्र सीन घाटी में स्थित हैं, évry et Corbeil-esonnes (Essonne), Mureaux, Mantes-La-Jolie (Yvelines) में, और Delouvrier के 1961 ""Ville Nouvelle"" राजनीतिक पहल द्वारा बनाए गए सामाजिक आवास जिलों के बीच बिखरे हुए हैं।",question: क्वार्टियर सेंसिबल्स कहाँ स्थित हैं? answer: उत्तरी और पूर्वी पेरिस
"context: प्रतीत होता है कि एनीड एक बड़ी सफलता रही है।कहा जाता है कि वर्जिल ने 2, 4, और 6 से ऑगस्टस की किताबों का पाठ किया है;और बुक 6 ने स्पष्ट रूप से ऑगस्टस की बहन ऑक्टेविया को बेहोश कर दिया।यद्यपि इस दावे की सच्चाई विद्वानों के संदेह के अधीन है, लेकिन इसने बाद की कला के लिए एक आधार के रूप में कार्य किया है, जैसे कि जीन-बैप्टिस्ट विकर के वर्जिल ने एनीद को पढ़ा।",question: कथित तौर पर किस पुस्तक ने ऑगस्टस की बहन को बेहोश कर दिया? answer: 6
"context: अन्य सामान्य रंगों की तरह, ग्रीन के कई पूरी तरह से विपरीत संघ हैं।जबकि यह यूरोपीय और अमेरिकियों द्वारा अच्छे स्वास्थ्य के साथ सबसे अधिक जुड़ा हुआ रंग है, यह भी अक्सर विषाक्तता और जहर से जुड़ा रंग है।इस एसोसिएशन के लिए एक ठोस आधार था;उन्नीसवीं शताब्दी में कई लोकप्रिय पेंट्स और पिगमेंट, विशेष रूप से वर्डीग्रिस, वर्ट डी श्वेनफर्ट और वर्ट डी पेरिस, अत्यधिक विषाक्त थे, जिसमें तांबा या आर्सेनिक था।",question: Absinthe के रूप में जाना जाता था? answer: हरी परी
"context: वह 2 मार्च 2009 को मार दिया गया था, संभवतः सैनिकों द्वारा प्रतिशोध में सैनिकों द्वारा एक विस्फोट में मारे गए संयुक्त चीफ ऑफ स्टाफ के प्रमुख, जनरल बतिस्ता टैगमे ना वेई की हत्या के लिए।वसीरा की मौत ने व्यापक हिंसा को ट्रिगर नहीं किया, लेकिन वकालत समूह स्विस्पेस के अनुसार, देश में उथल -पुथल के संकेत थे।एक संक्रमण के बाद मलम बाकई संहा चुने गए।2009 के चुनाव में हत्यारे विएरा को बदलने के लिए, सान्हिया PAIGC के राष्ट्रपति पद के उम्मीदवार थे, जबकि कुंबा इलिया पीआरएस के राष्ट्रपति पद के उम्मीदवार थे।","question: 2009 के चुनाव में, PAIGC का उम्मीदवार कौन था? answer: संनह"
"context: सबसे उल्लेखनीय धोखाधड़ी की सजा गॉर्डन फॉक्सले की थी, जो 1981 से 1984 तक रक्षा मंत्रालय में रक्षा खरीद के प्रमुख थे। पुलिस ने दावा किया कि उन्हें भ्रष्ट भुगतान में कुल मिलाकर कम से कम £ 3.5m प्राप्त हुआ, जैसे कि विदेशी हथियार ठेकेदारों से पर्याप्त रिश्वतें अनुबंधों के आवंटन को प्रभावित करने का लक्ष्य रखते थे।",question: फॉक्सले ने कितना पैसा लेने का आरोप लगाया था? answer: कम से कम £ 3.5m
"context: साहित्यिक कैटलन बहुत प्रतिबंधित उपयोग के अलावा, विभिन्न बोलियों से शब्दों के उपयोग की अनुमति देता है।हालांकि, 19 वीं शताब्दी के बाद से, दूसरों की हानि में उत्तरी बोलियों के शब्दों के पक्ष में है, भले ही आजकल पसंद की अधिक स्वतंत्रता है।",question: अन्य बोलियों पर उत्तरी बोलियों का इस पक्ष का क्या प्रभाव पड़ा? answer: दूसरों की गिरावट
"context: बीबीसी ने 22 अगस्त 1932 को लंदन, लंदन के बेसमेंट से अपनी नियमित टेलीविजन प्रोग्रामिंग शुरू की। स्टूडियो फरवरी 1934 में 16 पोर्टलैंड प्लेस, लंदन में बड़े क्वार्टर में स्थानांतरित हो गया, और ब्रुकमैन पार्क में मीडियम वेव्स ब्रॉडस्ट्रोन के लिए टेलीफोन लाइन द्वारा ले जाने के लिए 30-लाइन छवियों को जारी रखा, 11 सितंबर 1935 तक,अप्रचलित।",question: वह माध्यम क्या था जो बीबीसी के सिग्नल को ट्रांसमीटर में लाया था? answer: टेलीफोन लाइन
"context: केयू का एडवर्ड्स कैंपस ओवरलैंड पार्क, कंसास में है।1993 में स्थापित, इसका लक्ष्य वयस्कों को कॉलेज की डिग्री पूरी करने का अवसर प्रदान करना है।लगभग 2,100 छात्र एडवर्ड्स परिसर में भाग लेते हैं, 32 की औसत आयु के साथ। एडवर्ड्स परिसर में उपलब्ध कार्यक्रमों में विकासात्मक मनोविज्ञान, सार्वजनिक प्रशासन, सामाजिक कार्य, सिस्टम विश्लेषण, सूचना प्रौद्योगिकी, इंजीनियरिंग प्रबंधन और डिजाइन शामिल हैं।",question: एडवर्ड्स कैंपस में मुख्य प्रकार के छात्र कौन हैं? answer: वयस्कों
"context: यदि सभी तीन मापदंडों का उपयोग किया जाता है, तो वे निम्नलिखित रूप में निर्दिष्ट किए जाते हैं: [फ्रेम आकार] [स्कैनिंग सिस्टम] [फ्रेम या फील्ड रेट] या [फ्रेम आकार]/[फ्रेम या फ़ील्ड रेट] [स्कैनिंग सिस्टम]। [उद्धरण की आवश्यकता] अक्सर, फ्रेम आकार या फ्रेम दर को गिरा दिया जा सकता है यदि इसका मूल्य संदर्भ से निहित है।इस मामले में, शेष संख्यात्मक पैरामीटर पहले निर्दिष्ट किया गया है, उसके बाद स्कैनिंग सिस्टम है।",question: तीन HDTV पैरामीटर क्या हैं? answer: [फ्रेम आकार] [स्कैनिंग सिस्टम] [फ्रेम या फील्ड रेट]
"context: जबकि मूल Xbox जापान में खराब बेची गई, जबकि यह बाजार में (2002 और 2005 के बीच) के दौरान सिर्फ 2 मिलियन यूनिट बेच रही थी, [उद्धरण की आवश्यकता] Xbox 360 ने और भी खराब तरीके से बेचा, 2005 से 2011 तक केवल 1.5 मिलियन यूनिट बेचने के लिए। एज मैगज़ीन ने अगस्त 2011 में बताया कि शुरू में जापान में डोमिन की बिक्री में गिरावट आई थी।खुदरा विक्रेताओं को नीचे स्केलिंग और कुछ मामलों में Xbox 360 की बिक्री को पूरी तरह से बंद कर दिया।",question: सामान्य रूप से जापान में मूल Xbox का किराया कैसे हुआ? answer: खराब बेचा
"context: मेगस्थनीज़ एक ग्रीक राजदूत थे जो मौर्य अदालत में भेजे गए थे।वह चंद्रगुप्त मौर्य के शासनकाल के दौरान पाटलिपुत्र में रुके थे।उनकी पुस्तक, इंडिका ने भारतीय समाज, अर्थव्यवस्था और राजनीति का वर्णन किया।उन्होंने दासता की अनुपस्थिति और जाति की भूमिका पर ध्यान दिया।हालांकि कुछ अवलोकन गलत थे, उनका खाता मूल्यवान है।यह भारत के शुरुआती विदेशी रिकॉर्डों में से एक है।",question: किस ग्रीक ने इंडिका को लिखा? answer: मेगासथेनेस
"context: 1 जनवरी 1901 को ऑस्ट्रेलिया के फेडरेशन के समय, मेलबर्न फेडरेशन की सरकार की सीट बन गया।पहली संघीय संसद को 9 मई 1901 को रॉयल प्रदर्शनी भवन में बुलाई गई थी, बाद में विक्टोरियन संसद हाउस में चला गया, जहां यह 1927 तक स्थित था, जब इसे कैनबरा में स्थानांतरित कर दिया गया था।ऑस्ट्रेलिया के गवर्नर-जनरल 1930 तक मेलबर्न में गवर्नमेंट हाउस में रहते थे और कई प्रमुख राष्ट्रीय संस्थान मेलबर्न में बीसवीं शताब्दी में अच्छी तरह से बने रहे।",question: 1927 के बाद संघीय संसद कहाँ चली गई थी? answer: कैनबरा
"context: इन विचारों का एक सामंजस्य विलियम एटवुड द्वारा सुझाया गया है: ""निस्संदेह [चोपिन का] पारंपरिक संगीत रूपों का उपयोग जैसे कि पोलोनीज़ और मज़ुर्का ने राष्ट्रवादी भावनाओं को उकसाया और यूरोप और नई दुनिया में बिखरे हुए लोगों के बीच सामंजस्य की भावना की भावना को पूरा करने के लिए।किसी भी सचेत देशभक्ति डिजाइन के माध्यम से सहज रूप से, इसने पोलिश लोगों की इच्छा का प्रतीक करने के लिए सभी को सेवा दी ... """,question: डंडे कहाँ बिखरे हुए थे? answer: यूरोप और नई दुनिया
"context: हल्दीघती की लड़ाई 1576 में अकबर की सेना और महाराना प्रताप के बीच हुई।मुगल सेना का नेतृत्व मैन सिंह ने किया।हालांकि मुगलों ने जीत हासिल की, महाराना प्रताप भाग गए और गुरिल्ला युद्ध जारी रखा।वह राजपूत प्रतिरोध का प्रतीक बन गया।उनकी बहादुरी और प्रस्तुत करने से इनकार करने से उन्हें एक लोक नायक बना दिया गया।यह लड़ाई राजस्थान के लिए एक गौरवशाली स्मृति बनी हुई है।",question: हलदीघती की लड़ाई में अकबर के खिलाफ किसने लड़ाई लड़ी? answer: महाराणा प्रताप
"context: शहर की कई इमारतें जॉर्जियाई शैली में हैं, हालांकि आधुनिक लैंडमार्क संरचनाओं के कई उदाहरण हैं, जैसे कि काउंटी हॉल टॉवर, जो एक समय में आयरलैंड में सबसे ऊंची इमारत थी, जब तक कि एक अन्य कॉर्क शहर की इमारत: एलीसियन।काउंटी हॉल से नदी के पार आयरलैंड की सबसे लंबी इमारत है;विक्टोरियन टाइम्स में निर्मित, हमारी लेडी के मनोरोग अस्पताल को अब पुनर्निर्मित किया गया है और इसके वास्तुकार विलियम एटकिंस के बाद एटकिंस हॉल नामक एक आवासीय आवास परिसर में बदल दिया गया है।",question: एटकिन हॉल क्या है? answer: एक आवासीय आवास परिसर
"context: कई नए नियंत्रण प्रणाली वायरलेस मेष खुले मानकों (जैसे कि ज़िगबी) का उपयोग कर रहे हैं, जो अन्य मानकों-आधारित बिल्डिंग कंट्रोल सिस्टम (जैसे सुरक्षा) के साथ आसान स्थापना (नियंत्रण तारों को चलाने की आवश्यकता नहीं) और इंटरऑपरेबिलिटी सहित लाभ प्रदान करता है।",question: क्या एक वायरलेस मेष खुला मानक स्थापना को कठिन बनाता है? answer: नहीं
"context: कुछ स्टोरीबोर्ड और वर्डलेस उपन्यासों को कॉमिक्स मानते हैं।फिल्म स्टूडियो, विशेष रूप से एनीमेशन में, अक्सर फिल्म अनुक्रमों के लिए गाइड के रूप में छवियों के अनुक्रमों का उपयोग करते हैं।ये स्टोरीबोर्ड एक अंतिम उत्पाद के रूप में नहीं हैं और शायद ही कभी जनता द्वारा देखा जाता है।वर्डलेस उपन्यास ऐसी पुस्तकें हैं जो एक कथा देने के लिए कैप्शनलेस छवियों के अनुक्रमों का उपयोग करती हैं।",question: स्टोरीबोर्ड का बहुत उपयोग किया जाता है? answer: फिल्म स्टूडियो
"context: एक लापता IHDI के साथ HDI (""बहुत उच्च मानव विकास"" समूह) के शीर्ष चतुर्थक के देशों में शामिल हैं: न्यूजीलैंड, लिकटेंस्टीन, जापान, हांगकांग, सिंगापुर, ताइवान, संयुक्त अरब अमीरात, एंडोरा, ब्रुनेई, माल्टा, कतर, बहरीन, चाइल, आर्गेंटिना और बारबडोस।",question: कौन सा कैरिबियन राष्ट्र HDI (लेकिन लापता IHDI) के शीर्ष चतुर्थक में है? answer: बारबाडोस
"context: टिटो के नेतृत्व में, यूगोस्लाविया गैर-संरेखित आंदोलन का संस्थापक सदस्य बन गया।1961 में, टिटो ने मिस्र के गामल अब्देल नासर, भारत के जवाहरलाल नेहरू, इंडोनेशिया के सुकर्णो और घाना के क्वामे नक्रमाह के साथ आंदोलन की सह-स्थापना की, एक कार्रवाई में पांच (टिटो, नेहरू, नासर, सुकनो, नक्रो, नक्रो, नेकोरो) की पहल की, इस प्रकार स्ट्रॉन्ग टिज़ की स्थापना की।इस कदम ने यूगोस्लाविया की राजनयिक स्थिति में सुधार करने के लिए बहुत कुछ किया।1 सितंबर 1961 को, जोसिप ब्रोज़ टिटो गैर-संरेखित आंदोलन के पहले महासचिव बने।",question: नासिर ने 1961 में किस देश का नेतृत्व किया? answer: मिस्र
"context: दुनिया की सबसे पुरानी फुटबॉल प्रतियोगिता एफए कप है, जिसे सी। डब्ल्यू। अलकॉक द्वारा स्थापित किया गया था और 1872 से अंग्रेजी टीमों द्वारा चुनाव लड़ा गया है। पहला आधिकारिक अंतर्राष्ट्रीय फुटबॉल मैच भी 1872 में, स्कॉटलैंड और इंग्लैंड के बीच ग्लासगो में, सी। डब्ल्यू। अलकॉक के दायरे में फिर से हुआ था।इंग्लैंड दुनिया की पहली फुटबॉल लीग का भी घर है, जिसे 1888 में एस्टन विला के निदेशक विलियम मैकग्रेगर द्वारा बर्मिंघम में स्थापित किया गया था।मूल प्रारूप में मिडलैंड्स और उत्तरी इंग्लैंड के 12 क्लब शामिल थे।",question: पहले फुटबॉल लीग में कितने क्लब हैं? answer: 12
"context: 10 साल की उम्र में, वेस्ट अपनी मां के साथ नानजिंग, चीन में चले गए, जहां वह एक एक्सचेंज कार्यक्रम के हिस्से के रूप में नानजिंग विश्वविद्यालय में पढ़ा रही थीं।उनकी मां के अनुसार, वेस्ट अपनी कक्षा में एकमात्र विदेशी था, लेकिन अच्छी तरह से बस गया और जल्दी से भाषा उठाया, हालांकि वह तब से इसे भूल गया है।हाई स्कूल में उनके ग्रेड के बारे में पूछे जाने पर, वेस्ट ने जवाब दिया, ""मुझे ए और बी मिला है। और मैं भी फ्रंटिन नहीं हूं।""","question: चीन में रहने के दौरान, कान्ये केवल अपनी कक्षा में क्या था? answer: परदेशी"
"context: पहली एक्सटेंट एस्टोनियाई पुस्तक प्रोटेस्टेंट रिफॉर्मेशन अवधि के दौरान 1535 में एस। वानराड्ट और जे। कोएल द्वारा लूथरन कैटेचिज्म का एक द्विभाषी जर्मन-एस्टोनियन अनुवाद है।पुजारियों द्वारा इस्तेमाल की जाने वाली एक एस्टोनियाई व्याकरण पुस्तक को 1637 में जर्मन में मुद्रित किया गया था। न्यू टेस्टामेंट का 1686 में दक्षिणी एस्टोनियाई में अनुवाद किया गया था (उत्तरी एस्टोनियाई, 1715)।एंटोन थोर हेल द्वारा उत्तरी एस्टोनियाई पर आधारित दो भाषाओं को एकजुट किया गया था।",question: एस्टोनियाई में पुजारियों के उपयोग के लिए विशेष रूप से कौन सी पुस्तक छपी थी? answer: एक एस्टोनियाई व्याकरण पुस्तक
"context: बीज पौधों और बाद में एंजियोस्पर्म का विकास पूरे जीनोम दोहराव घटनाओं के दो अलग -अलग दौर का परिणाम प्रतीत होता है।ये 319 मिलियन साल पहले और 192 मिलियन साल पहले हुए थे।160 मिलियन साल पहले एक और संभव संपूर्ण जीनोम डुप्लीकेशन इवेंट ने शायद पैतृक रेखा बनाई, जिसके कारण सभी आधुनिक फूलों के पौधे थे।उस घटना का अध्ययन एक प्राचीन फूलों के पौधे, एम्बोरेला ट्राइकोपोडा के जीनोम को अनुक्रमण द्वारा किया गया था, और सीधे डार्विन के ""घृणित रहस्य"" को संबोधित करता है।",question: बीज पौधों के विकास में जीनोम डुप्लीकेशन इवेंट्स के कितने अलग -अलग राउंड संदिग्ध हैं? answer: दो
"context: शैवाल एक पॉलीफैलेटिक समूह हैं और उन्हें विभिन्न डिवीजनों में रखा जाता है, कुछ और अधिक बारीकी से पौधों से संबंधित हैं।सेल वॉल रचना, जैव रसायन, रंजकता, क्लोरोप्लास्ट संरचना और पोषक तत्वों के भंडार जैसी सुविधाओं में उनके बीच कई अंतर हैं।ग्रीन अल्गल डिवीजन क्लोरोफाइटा की बहन अल्गल डिवीजन चारोफाइटा को सच्चे पौधों के पूर्वज को शामिल करने के लिए माना जाता है।Charophyte वर्ग Charophiceae और भूमि संयंत्र उप-किंगडम भ्रूणोफाइटा एक साथ मोनोफैलेटिक समूह या क्लैड स्ट्रेप्टोफाइटिना बनाते हैं।",question: शैवाल की किस प्रजाति के लिए चारोफाइटा से संबंधित है? answer: क्लोरोफाईटा
"context: श्वार्ज़नेगर एक दोहरी ऑस्ट्रियाई/संयुक्त राज्य अमेरिका के नागरिक हैं।वह जन्म से ऑस्ट्रियाई नागरिकता रखता है और 1983 में स्वाभाविक होने के बाद से अमेरिकी नागरिकता का आयोजन किया है। ऑस्ट्रियाई और इस तरह से यूरोपीय होने के नाते, वह 2007 के यूरोपीय वॉयस प्रचारक ऑफ द ईयर पुरस्कार को जीतने में सक्षम था, 2006 के कैलिफोर्निया ग्लोबल वार्मिंग सॉल्यूशंस अधिनियम के खिलाफ कार्रवाई करने के लिए और अन्य अमेरिकी राज्यों के साथ एक उत्सर्जन व्यापार योजना शुरू करने की योजना बना रहा है।",question: यू.एस. के अलावा किस देश में श्वार्ज़नेगर एक नागरिक है? answer: ऑस्ट्रिया
